"Món Ăn","Giá (VND)","Loại"
"Sườn (Giá gốc)","40.000","Cơm Tấm"
"Sườn (Giá khuyến mãi)","36.000","Cơm Tấm"
"Bún thịt nướng đầy đủ (Thịt nướng, thịt que, chả giò)","37.000","Bún"
"Bún thịt nướng không chả giò (Bún, thịt nướng, thịt que)","37.000","Bún"
"Bún thịt que (Bún, thịt que)","37.000","Bún"
"Bún chả giò (Bún, chả giò)","37.000","Bún"
"Sườn Ốp La","45.000","Cơm Tấm"
"Sườn Thịt Que","45.000","Cơm Tấm"
"Sườn Bì","45.000","Cơm Tấm"
"Sườn Chả Giò","45.000","Cơm Tấm"
"Sườn Chả","45.000","Cơm Tấm"
"Sườn Bì Chả","50.000","Cơm Tấm"
"Đùi Gà Chả","45.000","Cơm Tấm"
"Đùi Gà Ốp La","45.000","Cơm Tấm"
"Sườn Chả Ốp La","50.000","Cơm Tấm"
"Sườn Bì Chả Ốp La","55.000","Cơm Tấm"
"Chả Ốp La","30.000","Món Thêm"
"Sườn Bì Ốp La","50.000","Cơm Tấm"
"Bì Chả","28.000","Món Thêm"
"Bì Ốp La","28.000","Món Thêm"
"Sườn Cọng Nướng","55.000","Cơm Tấm"
"Ba Rọi Nướng","37.000","Món Nướng"
