"Món Ăn","Giá (VND)","Loại"
"Cơm Tam Bảo (Gà luộc, Heo quay, Xá xíu)","78.000","Cơm"
"Cơm Gà Quay","49.000","Cơm"
"Gà Hấp Muối 1/2 con + Cháo","169.000","Gà"
"Cơm Xào Mề Gà Ớt Xanh Củ Hành","56.000","Cơm"
"Combo 3 Người 1/2 Gà Hấp Muối + 3 Hộp Cơm + 3 Canh Rong Biển","266.000","Combo"
"Cơm Gà Hấp Muối (Hành lá rau răm)","45.000","Cơm"
"Cơm Đùi Gà Roti + Heo Quay","65.000","Cơm"
"Cơm Chiên Dương Châu + Đùi Gà Roti","77.000","Cơm Chiên"
"Cơm Gà Luộc, Xá Xíu, Trứng Non","62.000","Cơm"
"Miến Xào Lòng Gà Trứng Non","53.000","Bún/Mì"
"Miến Đùi Gà","53.000","Bún/Mì"
"Miến Gà","45.000","Bún/Mì"
"Cháo Thịt Bò","47.000","Cháo"
"Cháo Thịt Heo Bằm","42.000","Cháo"
"Cháo Gà","42.000","Cháo"
"Cháo Đùi Gà","46.000","Cháo"
"Cháo Gỏi Lòng","42.000","Cháo"
"Cháo Gỏi Gà","45.000","Cháo"
"Cơm Tam Bảo (Mua 5 Tặng 1)","78.000","Combo"
"Cơm Ức Gà Luộc + Canh Rong Biển","65.000","Cơm"
"Cơm Gà 1/4 Xé Phay Trộn Gỏi","75.000","Cơm"
"Cơm Gà Hấp Muối 1/4 + Canh Rong Biển","87.000","Cơm"
"Thập Cẩm 2 Người 2 Hộp Cơm + 2 Canh Sà Lách Xoong","165.000","Combo"
"Thập Cẩm 3 Người Ăn 3 Hộp Cơm + 3 Canh Rong Biển","265.000","Combo"
"1 Canh Xà Lách Xoong Thịt Bằm - Nhỏ, 1 Cơm Gà Hải Nam","56.000","Combo"
"1 Cơm Gà Xé Phay Trộn Gỏi, 1 Canh Xà Lách Xoong Thịt Bằm - Nhỏ","56.000","Combo"
"Canh Củ Sen Hầm Đuôi Heo + Cơm Đùi Gà Hải Nam","81.000","Combo"
"Canh Củ Sen Hầm Đuôi Heo + Cơm Gà Hải Nam","79.000","Combo"
"Canh Củ Sen Hầm Đuôi Heo + Cơm Gà Chiên Nước Mắm","79.000","Combo"
"Cơm Canh Củ Sen Hầm Đuôi Heo + Gà Rôti","71.000","Cơm"
"Cơm Mề Gà Hấp Muối (Mề gà rau răm hành tây)","42.000","Cơm"
"Cơm Đùi Gà Hấp Muối (Gà hấp rau răm và hành)","49.000","Cơm"
"Cơm Gà Hấp Muối (Gà rau răm hành)","42.000","Cơm"
"Phá Lấu Ăn Thêm","45.000","Món Thêm"
"Xá Xíu Thêm (2 Lạng)","80.000","Món Thêm"
"Heo Thêm (2 Lạng)","80.000","Món Thêm"
"Trứng Chiên Thịt Bằm Ăn Thêm","35.000","Món Thêm"
"Trứng Non (1/2 kg)","120.000","Món Thêm"
"Ức Gà Luộc","35.000","Gà"
"Đùi Gà Luộc","35.000","Gà"
"Cánh Gà Luộc + Gỏi 1 Cái","27.000","Gà"
"Cơm Gỏi Trứng Non Gà","53.000","Cơm"
"Cơm Trứng Non Xào Sả Ớt (Trứng non củ hành ớt xanh)","56.000","Cơm"
"Nui Xào Đùi Gà Roti","65.000","Bún/Mì"
"Nui Xào Bò Lúc Lắc","69.000","Bún/Mì"
"Nui Xào Thịt Gà (Dai Ngon)","53.000","Bún/Mì"
"Nui Xào Thịt Xá Xíu","53.000","Bún/Mì"
"Nui Xào Bò","53.000","Bún/Mì"
"Cơm Chiên Đỏ Trứng","15.000","Cơm Chiên"
"Trứng Non Xào Ớt Xanh Củ Hành","85.000","Món Thêm"
"Hủ Tíu Xào Khô Thịt Gà (Gà Ta)","53.000","Bún/Mì"
"Hủ Tíu Xào Khô Thịt Bò","53.000","Bún/Mì"
"Hủ Tíu Xào Đen Kiểu Singapore (Trứng thịt)","53.000","Bún/Mì"
"Cơm Chiên Đỏ Bò Bít Tết + Ốp La","65.000","Cơm Chiên"
"Gỏi Gà Ăn Thêm","49.000","Món Thêm"
"Miến Xào Thịt Gà","53.000","Bún/Mì"
"Cơm Chiên Uyên Ương","47.000","Cơm Chiên"
"Cơm Xào Lòng Gà, Dồi Trứng Non, Xả Ớt","53.000","Cơm"
"Cơm Xào Lòng Gà Dồi Trứng Non","49.000","Cơm"
"Cơm Lòng Xào Gà Sate","53.000","Cơm"
"Cơm Chiên Đùi Gà Chiên Nước Mắm","42.000","Cơm Chiên"
"Cơm Trứng Chiên Tôm","53.000","Cơm"
"Cơm Trứng Chiên Thịt Bằm","42.000","Cơm"
"Cơm Da Gà Chiên Nước Mắm","42.000","Cơm"
"Cơm Da Gà Roti","42.000","Cơm"
"Cơm Xá Xíu + Phá Lấu","55.000","Cơm"
"Cơm Phá Lấu","42.000","Cơm"
"Cơm Đùi Gà Quay","53.000","Cơm"
"Cơm Gà Xé Phay + Trứng Non","53.000","Cơm"
"Cơm Gà Mắm + Trứng Non","53.000","Cơm"
"Cơm Gà Rôti + Trứng Non","53.000","Cơm"
"Cơm Lòng Xào Mướp","47.000","Cơm"
"Cơm Đùi Gà Rôti + Xá Xíu + Canh Rong Biển","67.000","Cơm"
"Cơm Gà Xé Phay + Canh Rong Biển","56.000","Cơm"
"Cơm Thêm","10.000","Món Thêm"
"Cơm Chiên Đùi Gà Rôti + Phá Lấu + Canh Rong Biển","67.000","Cơm Chiên"
"Cơm Phá Lấu (Đã bao gồm tiền hộp)","42.000","Cơm"
"Cơm Gà Hải Nam (Đã bao gồm tiền hộp)","42.000","Cơm"
"Cơm Đùi Gà Hải Nam (Đã bao gồm tiền hộp)","49.000","Cơm"
"Cơm Gà Xé Phay Trộn Gỏi (Đã bao gồm tiền hộp)","42.000","Cơm"
"Cơm Xá Xíu (Đã bao gồm tiền hộp)","42.000","Cơm"
"Cơm Heo Quay (Đã bao gồm tiền hộp)","42.000","Cơm"
"Cơm Chiên Đùi Gà Rôti (Đã bao gồm tiền hộp)","42.000","Cơm Chiên"
"Cơm Lòng, Trứng Non (Đã bao gồm tiền hộp)","42.000","Cơm"
"Cơm Chiên Cá Mặn (Đã bao gồm tiền hộp)","45.000","Cơm Chiên"
"Cơm Chiên Gà Xé (Đã bao gồm tiền hộp)","42.000","Cơm Chiên"
"Cơm Chiên Singapore (Đã bao gồm tiền hộp)","45.000","Cơm Chiên"
"Cơm Chiên Dương Châu (Đã bao gồm tiền hộp)","45.000","Cơm Chiên"
"Cơm Chiên Malaysia (Đã bao gồm tiền hộp)","45.000","Cơm Chiên"
"Cơm Chiên Tôm Nhỏ (Đã bao gồm tiền hộp)","45.000","Cơm Chiên"
"Cơm Chiên Hải Sản (Đã bao gồm tiền hộp)","45.000","Cơm Chiên"
"Cơm Đùi Gà Kho Sả Ớt (Đã bao gồm tiền hộp)","42.000","Cơm"
"Cơm Xào Bò (Đã bao gồm tiền hộp)","47.000","Cơm"
"Cơm Xào Thập Cẩm (Đã bao gồm tiền hộp)","45.000","Cơm Chiên"
"Cơm Chiên Bò Lúc Lắc (Đã bao gồm tiền hộp)","56.000","Cơm Chiên"
"Cơm Heo Quay + Xá Xíu (Đã bao gồm tiền hộp)","53.000","Cơm"
"Cơm Heo Quay + Phá Lấu (Đã bao gồm tiền hộp)","53.000","Cơm"
"Cơm Rôti + Xá Xíu (Đã bao gồm tiền hộp)","53.000","Cơm"
"Cơm Rôti + Phá Lấu (Đã bao gồm tiền hộp)","53.000","Cơm"
"Cơm Rôti + Ốp La (Đã bao gồm tiền hộp)","47.000","Cơm"
"Cơm Gà Mắm + Xá Xíu (Đã bao gồm tiền hộp)","53.000","Cơm"
"Cơm Gà Mắm + Phá Lấu (Đã bao gồm tiền hộp)","53.000","Cơm"
"Cơm Gà Mắm + Ốp La (Đã bao gồm tiền hộp)","44.000","Cơm"
"Cơm Hải Nam + Xá Xíu (Đã bao gồm tiền hộp)","53.000","Cơm"
"Cơm Hải Nam + Phá Lấu (Đã bao gồm tiền hộp)","53.000","Cơm"
"Cơm Hải Nam + Ốp La (Đã bao gồm tiền hộp)","47.000","Cơm"
"Cơm Râu Mực Xào Sate","53.000","Cơm"
"Canh Gà Nấu Lá Giang Lòng Trứng Non","29.000","Canh"
"Canh Củ Sen Hầm Đuôi Heo (Củ sen + đuôi heo + đậu phộng)","39.000","Canh"
"Canh Cà Chua Trứng - Nhỏ (Đã bao gồm tiền hộp)","18.000","Canh"
"Canh Cà Chua Trứng - Lớn","25.000","Canh"
"Canh Gà Nấu Lá Giang - Nhỏ","18.000","Canh"
"Canh Gà Nấu Lá Giang - Lớn","27.000","Canh"
"Canh Xà Lách Xoong Thịt Bằm - Nhỏ","18.000","Canh"
"Canh Xà Lách Xoong Thịt Bằm - Lớn","25.000","Canh"
