"Món Ăn","Giá (VND)","Loại"
"Cơm Cá Basa phi lê chiên giòn","40.000","Món Cơm"
"Cơm Giò Heo giả Cầy","45.000","Món Cơm"
"Cơm cá Trê chiên","40.000","Món Cơm"
"Cơm Trứng kho không Thịt","35.000","Món Cơm"
"Cơm Chả Cá kho Đậu Hủ","40.000","Món Cơm"
"Cơm Thịt xào Cải Chua","40.000","Món Cơm"
"Cơm khô cá đù một nắng","40.000","Món Cơm"
"Cơm Lươn xào xã ớt","40.000","Món Cơm"
"Cơm Khổ qua xào trứng","38.000","Món Cơm"
"Cơm Tôm kho Thịt","40.000","Món Cơm"
"Cơm Heo quay","45.000","Món Cơm"
"Cơm Đậu Que xào Thịt","38.000","Món Cơm"
"Cơm Đậu Hủ dồn Thịt","40.000","Món Cơm"
"Cơm thịt kho mắm ruốc","40.000","Món Cơm"
"Cơm sườn nướng","40.000","Món Cơm"
"Cơm thịt kho măng","40.000","Món Cơm"
"Cơm thịt kho tiêu","40.000","Món Cơm"
"Cơm Thịt kho trứng cút","40.000","Món Cơm"
"Cơm thịt kho trứng","40.000","Món Cơm"
"Cơm Mắm Chưng","40.000","Món Cơm"
"Cơm Tép con cháy tỏi","40.000","Món Cơm"
"Cơm Cá Chốt kho tiêu","40.000","Món Cơm"
"Cơm Phá Lấu","40.000","Món Cơm"
"Cơm Cá Thu sốt cà","45.000","Món Cơm"
"Cơm Gà góc tư chiên mắm tỏi","49.000","Món Cơm"
"Cơm Trứng opla","32.000","Món Cơm"
"Cơm Xíu Mại","40.000","Món Cơm"
"Cơm Vịt kho gừng","45.000","Món Cơm"
"Cơm Khô cá Dứa","40.000","Món Cơm"
"Cơm sườn cốt lếch chiên xù + opla","45.000","Món Cơm"
"Cơm Sườn cốt lếch chiên xù","40.000","Món Cơm"
"Cơm canh chua Đầu Cá Lóc","45.000","Món Cơm"
"Cơm Thịt ba rọi chiên nước mắm","40.000","Món Cơm"
"Cơm Khô cá Lóc một Nắng","45.000","Món Cơm"
"Cơm Mực dồn Thịt","45.000","Món Cơm"
"Cơm Trứng chiên Thịt","40.000","Món Cơm"
"Cơm Thịt luộc mắm nêm","40.000","Món Cơm"
"Cơm sườn nướng + opla","45.000","Món Cơm"
"Cơm sườn non ram","45.000","Món Cơm"
"Cơm gà kho","40.000","Món Cơm"
"Cơm đùi gà goti","40.000","Món Cơm"
"Cơm Lòng Gà Xào Hành Tây","40.000","Món Cơm"
"Cơm Cá biển chiên","40.000","Món Cơm"
"Cơm cá nục kho cà","40.000","Món Cơm"
"Cơm cá rô kho tiêu","40.000","Món Cơm"
"Cơm cá trê kho tiêu","38.000","Món Cơm"
"Cơm cá kèo kho tiêu","40.000","Món Cơm"
"Cơm cá lóc kho tiêu","38.000","Món Cơm"
"Cơm cá Ngừ kho Thơm","40.000","Món Cơm"
"Cơm đầu cá lóc kho tiêu","45.000","Món Cơm"
"Cơm cá diêu hồng chiên","45.000","Món Cơm"
"Cơm cá hú kho","40.000","Món Cơm"
"Cơm cá thu Nhật","40.000","Món Cơm"
"Cơm ếch xào xã ớt","40.000","Món Cơm"
"Cơm mắm kho cá hú + thịt","50.000","Món Cơm"
"Cơm mắm kho cá hú","45.000","Món Cơm"
