"Món Thêm","Giá (VND)","Loại"
"Cải chua xào thịt thêm","20.000","Món Thêm"
"Măng xào thịt thêm","20.000","Món Thêm"
"Cà Pháo Mắm Tôm","7.000","Món Thêm"
"Canh chua không cá","10.000","Món Thêm"
"Khổ qua xào trứng thêm","15.000","Món Thêm"
"Trứng kho thêm","10.000","Món Thêm"
"Canh chua Cá thêm","30.000","Món Thêm"
"Các món cá kho thêm","30.000","Món Thêm"
"Đậu hủ dồn thịt thêm","30.000","Món Thêm"
"Trứng chiên thịt thêm","30.000","Món Thêm"
"Rau Sống","10.000","Món Thêm"
"Đậu Que Xào Thịt Thêm","20.000","Món Thêm"
"Cơm Thêm","3.000","Món Thêm"
"Canh khổ qua (1 khúc)","15.000","Món Thêm"
"Lạp xưởng thêm","30.000","Món Thêm"
"Xíu mại ăn thêm","30.000","Món Thêm"
"Trứng opla thêm","7.000","Món Thêm"
"Mắm Chưng Thêm","30.000","Món Thêm"
