"Món Ăn","Giá (VND)","Loại"
"Cơm Chiên Tỏi","30.000","Cơm Chiên"
"Cơm chiên tỏi rau củ","30.000","Cơm Chiên"
"Thố gà áp chảo","55.000","Cơm Thố"
"Thố Dương Châu","45.000","Cơm Thố"
"Thố Ốp La","40.000","Cơm Thố"
"Canh Cải","20.000","Canh"
"Thố Xá Xíu","55.000","Cơm Thố"
"Thố Gà Xào","55.000","Cơm Thố"
"Thố Bò","65.000","Cơm Thố"
"Thố Đùi Gà","55.000","Cơm Thố"
"Thố Cơm Chay","25.000","Cơm Thố"
"thố gà nướng","60.000","Cơm Thố"
"Thố xá xíu","55.000","Cơm Thố"
"Thố gà quay","55.000","Cơm Thố"
"Cơm Chay","30.000","Cơm"
"Thố xá xíu + gà","75.000","Cơm Thố"
"Thố gà + bò","80.000","Cơm Thố"
"Thố bò + xá xíu","80.000","Cơm Thố"
"Thố gà + bò + xá xíu","96.000","Cơm Thố"
"Cơm thố gà quay","55.000","Cơm Thố"
"Cơm thố Dương Châu","45.000","Cơm Thố"
"Cơm thố xá xíu","55.000","Cơm Thố"
"Thố Gà + Bò","80.000","Cơm Thố"
"Thố Bò + Xá Xíu","80.000","Cơm Thố"
"Thố Xá Xíu + Gà","75.000","Cơm Thố"
"1xá xíu + 1 gà + 1canh cải + 1canh khổ qua","130.000","Combo"
"2 gà xào + 2 canh khổ qua","130.000","Combo"
"2 xá xíu + 2 canh cải","130.000","Combo"
"Đùi Gà Thêm","40.000","Món Thêm"
"Ốp la thêm","12.000","Món Thêm"
"Bò thêm","65.000","Món Thêm"
"Xá xíu thêm","35.000","Món Thêm"
"Gà thêm","35.000","Món Thêm"
"Thố xá xíu+ 1 Pepsi","70.000","Combo"
"Thố gà áp chảo+ 1 Pepsi","70.000","Combo"
"Canh cải+ 1 Pepsi","35.000","Combo"
"Cơm chiên tỏi rau củ - Mua 1 phần tặng 1 phần","60.000","Cơm Chiên"
"Canh Khổ Qua","20.000","Canh"
"Canh Cải","20.000","Canh"
"Cải Ngọt Xào Tỏi","40.000","Món Xào"
"Rau Muống Xào tỏi","40.000","Món Xào"
"Canh cải","20.000","Canh"
"Canh Khổ Qua","20.000","Canh"
"Rau muống cháy tỏi","40.000","Món Xào"
"Cải thìa sốt hàu","25.000","Món Xào"
