item_name,price
CƠM TRỨNG HỒNG ĐÀO KHO TIÊU,32000
CƠM TRỨNG CHIÊN HÀNH TÂY,32000
CƠM MẮM CHƯNG,35000
CƠM ẾCH XÀO SẢ ỚT,40000
CƠM MỰC XÀO SẢ ỚT,35000
CƠM LÒNG HEO KHÌA NƯỚC DỪA,35000
CƠM MẮM RUỐC XÀO THỊT,35000
CƠM SƯỜN RAM,35000
CƠM SƯỜN RAM + TRỨNG CHIÊN,40000
CƠM SƯỜN RAM + TRỨNG KHO,40000
CƠM THỊT KHO TIÊU + TRỨNG KHO,35000
CƠM THỊT KHO TIÊU,35000
CƠM THỊT KHO ĐẬU HŨ,35000
CƠM ĐẬU HŨ DỒN THỊT,35000
CƠM XÍU MẠI,35000
CƠM SƯỜN NON KHO TRỨNG,35000
CƠM SƯỜN NON KHO,35000
CƠM THỊT KHO TRỨNG,35000
CƠM THỊT KHO CỦ CẢI TRẮNG,35000
CƠM THỊT KHO MĂNG,35000
CƠM BÒ XÀO SẢ ỚT,35000
CƠM TÔM RIM THỊT,35000
CƠM MỀ GÀ XÀO SẢ ỚT,35000
CƠM ĐÙI GÀ LUỘC MUỐI TIÊU CHANH,35000
CƠM ĐÙI GÀ GÔ TY,35000
CƠM CÁNH GÀ CHIÊN NƯỚC MẮM,35000
CƠM GÀ KHO SẢ ỚT,35000
CƠM GÀ KHO GỪNG,35000
CƠM ĐÙI GÀ CHIÊN NƯỚC MẮM,35000
CƠM CÁ NỤC KHO CÀ,35000
CƠM CÁ NỤC KHO MĂNG,35000
CƠM CÁ HÚ KHO,35000
CƠM CÁ DIÊU HỒNG KHO,35000
CƠM CÁ LÓC KHO TIÊU,35000
CƠM ĐẦU CÁ LÓC KHO TIÊU,40000
CƠM CHẢ CÁ KHO TIÊU,35000
CƠM CÁ TRÊ KHO TIÊU,35000
CƠM CÁ NỤC CHIÊN NƯỚC MẮM GỪNG,35000
CƠM CÁ NỤC CHIÊN RIM NƯỚC MẮM,35000
CƠM CÁ NỤC CHIÊN SỐT CÀ,35000
CƠM CÁ DIÊU HỒNG CHIÊN NƯỚC MẮM GỪNG,35000
CƠM CÁ DIÊU HỒNG CHIÊN SỐT CÀ,35000
CƠM CÁ HÚ CHIÊN NƯỚC MẮM GỪNG,35000
CƠM CÁ HÚ CHIÊN SỐT CÀ,35000
CƠM CÁ LÓC CHIÊN SẢ ỚT,35000
CƠM CÁ BA SA PHI LÊ CHIÊN SẢ ỚT,35000
CƠM CÁ TRÊ CHIÊN NƯỚC MẮM GỪNG,35000
CƠM DƯA CẢI CHUA XÀO THỊT,32000
CƠM MĂNG XÀO THỊT,32000
CƠM ĐẬU VE CÀ RỐT XÀO THỊT,32000
CƠM MƯỚP XÀO THỊT,32000
CƠM MƯỚP XÀO MỀ GÀ,32000
CƠM KHỔ QUA XÀO + TRỨNG CHIÊN,32000
CƠM KHỔ QUA XÀO THỊT,32000
CƠM SU SU XÀO THỊT,32000
CƠM BẮP CẢI XÀO THỊT,32000
CƠM BẮP CẢI XÀO MỀ GÀ,32000
DƯA CẢI CHUA XÀO THỊT ĂN THÊM,25000
